timestamp,message
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Retrieving 'Oracle' endpoint's Secrets Manager configuration  (secrets_manager_utils.c:248)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  The Secrets Manager secret Arn 'arn:aws-us-gov:secretsmanager:us-gov-west-1:331875467123:secret:entergy_shared_dms_ESOM_ANO-6SvXPg' is configured for the endpoint  (secrets_manager_utils.c:368)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Building Secrets Manager client...  (secrets_manager_utils.c:390)
1759478546000,2025-10-03T08:02:26 [TASK_MANAGER    ]I:  Creating STS Client with ServicePrincipalCredentialsProviderChain  (STSCredentialsProvider.cpp:92)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Looking for Secrets Manager secret attribute 'username'  (secrets_manager_utils.c:408)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Looking for Secrets Manager secret attribute 'password'  (secrets_manager_utils.c:408)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Looking for Secrets Manager secret attribute 'host'  (secrets_manager_utils.c:408)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Looking for Secrets Manager secret attribute 'port'  (secrets_manager_utils.c:408)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Retrieving AWS Secrets Manager secret Arn 'arn:aws-us-gov:secretsmanager:us-gov-west-1:331875467123:secret:entergy_shared_dms_ESOM_ANO-6SvXPg' content  (secrets_manager_utils.c:413)
1759478546000,2025-10-03T08:02:26 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'username' value  (secrets_manager_client.cpp:277)
1759478546000,2025-10-03T08:02:26 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'password' value  (secrets_manager_client.cpp:277)
1759478546000,2025-10-03T08:02:26 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'host' value  (secrets_manager_client.cpp:277)
1759478546000,2025-10-03T08:02:26 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'port' value  (secrets_manager_client.cpp:277)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Replacing 'HOST=' value with Secrets Manager secret value in the connection string  (secrets_manager_utils.c:486)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Replacing 'PORT=' value with Secrets Manager secret value in the connection string  (secrets_manager_utils.c:486)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1589)
1759478546000,2025-10-03T08:02:26 [SOURCE_CAPTURE  ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1049)
1759478547000,2025-10-03T08:02:27 [SOURCE_CAPTURE  ]I:  Source endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:898)
1759478547000,2025-10-03T08:02:27 [TASK_MANAGER    ]I:  Starting component st_1_X7ZOOIFK6JHKBIGS7ULK6Q5JXE  (subtask.c:1449)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Endpoint is configured to use Secrets Manager service  (secrets_manager_utils.c:231)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Retrieving 'Oracle' endpoint's Secrets Manager configuration  (secrets_manager_utils.c:248)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  The Secrets Manager secret Arn 'arn:aws-us-gov:secretsmanager:us-gov-west-1:331875467123:secret:entergy_shared_dms_ESOM_ANO-6SvXPg' is configured for the endpoint  (secrets_manager_utils.c:368)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Building Secrets Manager client...  (secrets_manager_utils.c:390)
1759478547000,2025-10-03T08:02:27 [TASK_MANAGER    ]I:  Creating STS Client with ServicePrincipalCredentialsProviderChain  (STSCredentialsProvider.cpp:92)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Looking for Secrets Manager secret attribute 'username'  (secrets_manager_utils.c:408)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Looking for Secrets Manager secret attribute 'password'  (secrets_manager_utils.c:408)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Looking for Secrets Manager secret attribute 'host'  (secrets_manager_utils.c:408)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Looking for Secrets Manager secret attribute 'port'  (secrets_manager_utils.c:408)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Retrieving AWS Secrets Manager secret Arn 'arn:aws-us-gov:secretsmanager:us-gov-west-1:331875467123:secret:entergy_shared_dms_ESOM_ANO-6SvXPg' content  (secrets_manager_utils.c:413)
1759478547000,2025-10-03T08:02:27 [TASK_MANAGER    ]I:  Starting component st_1_HCLZYVLZGFDBVBXZJG657UMYBA  (subtask.c:1449)
1759478547000,"2025-10-03T08:02:27 [TARGET_LOAD     ]I:  No records received to load or apply on target , waiting for data from upstream  (streamcomponent.c:2018)"
1759478547000,"2025-10-03T08:02:27 [TABLES_MANAGER  ]I:  Next table to load 'SOMSDBA'.'ACT_TAGOUT_SECTION_DOCUMENTS' ID = 1, order = 0  (tasktablesmanager.c:2138)"
1759478547000,2025-10-03T08:02:27 [SORTER          ]I:  Start collecting changes for table id = 1  (sorter_transaction.c:2317)
1759478547000,2025-10-03T08:02:27 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'username' value  (secrets_manager_client.cpp:277)
1759478547000,2025-10-03T08:02:27 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'password' value  (secrets_manager_client.cpp:277)
1759478547000,2025-10-03T08:02:27 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'host' value  (secrets_manager_client.cpp:277)
1759478547000,2025-10-03T08:02:27 [TASK_MANAGER    ]I:  Successfully retrieved secret attribute 'port' value  (secrets_manager_client.cpp:277)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Replacing 'HOST=' value with Secrets Manager secret value in the connection string  (secrets_manager_utils.c:486)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Replacing 'PORT=' value with Secrets Manager secret value in the connection string  (secrets_manager_utils.c:486)
1759478547000,2025-10-03T08:02:27 [SOURCE_UNLOAD   ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1589)
1759478548000,2025-10-03T08:02:28 [SOURCE_UNLOAD   ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1049)
1759478548000,2025-10-03T08:02:28 [TARGET_APPLY    ]I:  Starting apply for table id: 1  (file_apply.c:1735)
1759478548000,2025-10-03T08:02:28 [TRANSFORMATION  ]I:  rule action=5  (manipulation_manager.c:788)
1759478548000,2025-10-03T08:02:28 [TRANSFORMATION  ]I:  rule action=(null)  (manipulation_manager.c:789)
1759478548000,2025-10-03T08:02:28 [TRANSFORMATION  ]I:  rule action=edl_load_date  (manipulation_manager.c:790)
1759478548000,2025-10-03T08:02:28 [TRANSFORMATION  ]I:  rule action=1  (manipulation_manager.c:788)
1759478548000,2025-10-03T08:02:28 [TRANSFORMATION  ]I:  rule action=(null)  (manipulation_manager.c:789)
1759478548000,2025-10-03T08:02:28 [TRANSFORMATION  ]I:  rule action=somano_raw.db  (manipulation_manager.c:790)
1759478549000,2025-10-03T08:02:29 [SOURCE_UNLOAD   ]I:  Database role is 'PRIMARY'  (oracle_endpoint_conn.c:139)
1759478549000,2025-10-03T08:02:29 [SOURCE_UNLOAD   ]I:  SUPPLEMENTAL_LOG_DATA_PK is set  (oracle_endpoint_conn.c:148)
1759478549000,2025-10-03T08:02:29 [SOURCE_UNLOAD   ]I:  Oracle database version is 12.1.0.2.0  (oracle_endpoint_conn.c:372)
1759478549000,2025-10-03T08:02:29 [TARGET_LOAD     ]I:  Target endpoint 'S3' is using provider syntax 'S3Syntax'  (provider_syntax_manager.c:904)
1759478549000,2025-10-03T08:02:29 [TARGET_LOAD     ]I:  Setting STS Endpoint override to sts.us-gov-west-1.amazonaws.com  (file_imp.c:114)
1759478549000,2025-10-03T08:02:29 [TARGET_LOAD     ]I:  Setting S3 endpoint override to s3.us-gov-west-1.amazonaws.com  (file_imp.c:121)
1759478549000,2025-10-03T08:02:29 [TARGET_LOAD     ]I:  Using encryption mode SSE_S3  (file_imp.c:154)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  creating client configuration for region us-gov-west-1  (s3_client.cpp:50)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  Setting AWS service endpoint to s3.us-gov-west-1.amazonaws.com  (s3_client.cpp:87)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  set max connections to 25  (s3_client.cpp:110)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  Creating STSCredentialProvider  (s3_client.cpp:183)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  creating client configuration for region us-gov-west-1  (s3_client.cpp:50)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  Setting AWS service endpoint to sts.us-gov-west-1.amazonaws.com  (s3_client.cpp:67)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  set max connections to 25  (s3_client.cpp:110)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  set idle timeout seconds to 200  (s3_client.cpp:124)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  Creating STS Client with ServicePrincipalCredentialsProviderChain  (STSCredentialsProvider.cpp:92)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  Creating S3 client  (s3_client.cpp:196)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  New s3 client created using credentials provider<150bfc0c81f0>  (s3_client.cpp:222)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  creating s3 transfer client  (transfer_client.cpp:326)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  creating client configuration for region us-gov-west-1  (s3_client.cpp:50)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  Setting AWS service endpoint to s3.us-gov-west-1.amazonaws.com  (s3_client.cpp:87)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  set max connections to 25  (s3_client.cpp:110)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  set idle timeout seconds to 200  (s3_client.cpp:124)
1759478549000,2025-10-03T08:02:29 [TASK_MANAGER    ]I:  Creating STSCredentialProvider   (transfer_client.cpp:136)
